"CÓDIGO DE LA SERIE",DTCCBCEUSDEUR.B,DTCCBCEJPYEUR.B,DTCCBCECHFEUR.B,DTCCBCEGBPEUR.B,DTCCBCEBGNEUR.B,DTCCBCECZKEUR.B,DTCCBCEDKKEUR.B,DTCCBCEHUFEUR.B,DTCCFMIXDREUR.B,DTCCBCEPLNEUR.B,DTCCBCERONEUR.B,DTCCBCESEKEUR.B,DTCCBCEISKEUR.B,DTCCBCENOKEUR.B,DTCCBCEHRKEUR.B,DTCCBCERUBEUR.B,DTCCBCETRYEUR.B,DTCCBCEAUDEUR.B,DTCCBCEBRLEUR.B,DTCCBCECADEUR.B,DTCCBCECNYEUR.B,DTCCBCEHKDEUR.B,DTCCBCEIDREUR.B,DTCCBCEILSEUR.B,DTCCBCEINREUR.B,DTCCBCEKRWEUR.B,DTCCBCEMXNEUR.B,DTCCBCEMYREUR.B,DTCCBCENZDEUR.B,DTCCBCEPHPEUR.B,DTCCBCESGDEUR.B,DTCCBCETHBEUR.B,DTCCBCEZAREUR.B
"NÚMERO SECUENCIAL",573234,573220,573204,573214,710590,573208,573210,573218,573236,573228,1177974,573230,710585,573224,1161056,1161044,1148988,573200,1610010,573202,1161054,710586,1161060,3707252,1666106,710595,1610012,1161036,573226,1161040,710587,1161048,710594
"ALIAS DE LA SERIE","TC_1_1.1","TC_1_1.2","TC_1_1.3","TC_1_1.4","TC_1_1.5","TC_1_1.6","TC_1_1.7","TC_1_1.8","TC_1_1.9","TC_1_1.10","TC_1_1.11","TC_1_1.12","TC_1_1.13","TC_1_1.14","TC_1_1.15","TC_1_1.16","TC_1_1.17","TC_1_1.18","TC_1_1.19","TC_1_1.20","TC_1_1.21","TC_1_1.22","TC_1_1.23","TC_1_1.24","TC_1_1.25","TC_1_1.26","TC_1_1.27","TC_1_1.28","TC_1_1.29","TC_1_1.30","TC_1_1.31","TC_1_1.32","TC_1_1.33"
"DESCRIPCIÓN DE LA SERIE","Tipo de cambio. Dólares estadounidenses por euro (USD/EUR). Datos diarios","Tipo de cambio. Yenes japoneses por euro (JPY/EUR). Datos diarios","Tipo de cambio. Francos suizos por euro (CHF/EUR). Datos diarios","Tipo de cambio. Libras esterlinas por euro (GBP/EUR).Datos diarios","Tipo de cambio. Leva búlgaros por euro (BGN/EUR). Datos diarios","Tipo de cambio. Coronas checas por euro (CZK/EUR). Datos diarios","Tipo de cambio. Coronas danesas por euro (DKK/EUR). Datos diarios","Tipo de cambio. Forintos húngaros por euro (HUF/EUR). Datos diarios","Tipo de cambio. Derechos especiales de giro (DEG) por euro (XDR/EUR). Datos diarios","Tipo de cambio. Zlotys polacos por euro (PLN/EUR). Datos diarios","Tipo de cambio. Lei rumanos antiguos por euro (RON/EUR, ROL/EUR). Datos diarios","Tipo de cambio. Coronas suecas por euro (SEK/EUR). Datos diarios","Tipo de cambio. Coronas islandesas por euro (ISK/EUR). Datos diarios","Tipo de cambio. Coronas noruegas por euro (NOK/EUR). Datos diarios","Tipo de cambio. Kunas croatas por euro (HRK/EUR). Datos diarios","Tipo de cambio. Rublos rusos por euro (RUB/EUR). Datos diarios [discontinuada]","Tipo de cambio. Liras turcas por euro (TRL/EUR, TRY/EUR). Datos diarios","Tipo de cambio. Dólares australianos por euro (AUD/EUR). Datos diarios","Tipo de cambio. Reales brasileños por euro (BRL/EUR). Datos diarios","Tipo de cambio. Dólares canadienses por euro (CAD/EUR).  Datos diarios","Tipo de cambio. Yuans chinos por euro (CNY/EUR). Datos diarios","Tipo de cambio. Dólares de Hong Kong por euro (HKD/EUR). Datos diarios","Tipo de cambio. Rupias indonesias por euro (IDR/EUR). Datos diarios","Tipo de cambio. Nuevos Sheqalim israelíes por euro (ILS/EUR). Datos diarios","Tipo de cambio. Rupia india por euro (INR/EUR). Datos diarios","Tipo de cambio. Wons surcoreanos por euro (KRW/EUR). Datos diarios","Tipo de cambio. Pesos mexicanos por euro (MXN/EUR). Datos diarios","Tipo de cambio. Ringgits de Malasia por euro (MYR/EUR). Datos diarios","Tipo de cambio. Dólares neozelandeses por euro (NZD/EUR). Datos diarios","Tipo de cambio. Pesos filipinos por euro (PHP/EUR). Datos diarios","Tipo de cambio. Dólares de Singapur por euro (SGD/EUR). Datos diarios","Tipo de cambio. Bahts de Tailandia por euro (THB/EUR). Datos diarios","Tipo de cambio. Rands sudafricanos por euro (ZAR/EUR). Datos diarios"
"DESCRIPCIÓN DE LAS UNIDADES","Dólares de Estados Unidos por Euro","Yenes japoneses por Euro","Francos suizos por Euro","Libras esterlinas por Euro","Leva búlgaros por Euro","Coronas checas por Euro","Coronas danesas por Euro","Forints húngaros por Euro","SDR (Derechos especiales de giro) por Euro","Zlotys polacos por Euro","Lei rumanos por Euro","Coronas suecas por Euro","Coronas islandesas por Euro","Coronas noruegas por Euro","Kunas por Euro","Rublos rusos por Euro","Liras turcas por Euro","Dólares australianos por Euro","Reales brasileños por Euro","Dólares canadienses por Euro","Yuans por Euro","Dólares de Hong Kong por Euro","Rupias indonesias por Euro","nuevos sheqalim israelíes por euro","Rupias indias por euro","Wons surcoreanos por Euro","Pesos mejicanos por Euro","Ringgits malayo por Euro","Dólares neozelandeses por Euro","Pesos filipinos por Euro","Dólares de Singapur por Euro","Bahts de tailandia por Euro","Rands sudafricanos por Euro"
"FRECUENCIA","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE"
"04 ENE 1999",1.1789,133.7300,1.6168,0.71110,"_",35.1070,7.4501,251.4800,0.8356,4.0712,13111.0000,9.4696,81.4800,8.8550,"_",25.2875,372274.0000,1.9100,"_",1.8004,"_",9.1332,9433.6100,"_","_",1398.5900,11.6446,4.4798,2.2229,45.5100,1.9554,42.6799,6.9358
"05 ENE 1999",1.1790,130.9600,1.6123,0.71220,"_",34.9170,7.4495,250.8000,0.8325,4.0245,13168.0000,9.4025,81.5300,8.7745,"_",26.5876,372816.0000,1.8944,"_",1.7965,"_",9.1341,9314.5100,"_","_",1373.0100,11.5960,4.4805,2.2011,44.7450,1.9655,42.5048,6.7975
"06 ENE 1999",1.1743,131.4200,1.6116,0.70760,"_",34.8500,7.4452,250.6700,0.8306,4.0065,13168.0000,9.3050,81.5400,8.7335,"_",27.4315,372188.0000,1.8820,"_",1.7711,"_",9.1010,9337.6800,"_","_",1359.5400,11.4705,4.4637,2.1890,44.8720,1.9699,42.6949,6.7307
"07 ENE 1999",1.1632,129.4300,1.6165,0.70585,"_",34.8860,7.4431,250.0900,0.8246,4.0165,13092.0000,9.1800,81.0600,8.6295,"_",26.9876,370147.0000,1.8474,"_",1.7602,"_",9.0131,9218.7700,"_","_",1337.1600,11.5511,4.4203,2.1531,44.4360,1.9436,42.1678,6.8283
"08 ENE 1999",1.1659,130.0900,1.6138,0.70940,"_",34.9380,7.4433,250.1500,0.8283,4.0363,13143.0000,9.1650,80.9900,8.5900,"_",27.2075,371830.0000,1.8406,"_",1.7643,"_",9.0302,9321.6300,"_","_",1366.7300,11.4414,4.4295,2.1557,44.2950,1.9537,42.5590,6.7855
